Tweet Date,Tweet ID,Tweet Text,tweet_source,tweet_retweet_count,tweet_favorite_count
2020/9/30,1311360988336271367,"#GoodHealthForAll 
#4MoreForNana https://t.co/2EgBCADdbQ",Hootsuite Inc.,112,838
2020/9/30,1311320554658566144,"#GoodHealthForAll 
#4MoreForNana https://t.co/P6DpFoUtBC",Hootsuite Inc.,133,1046
2020/9/30,1311259561907585025,"#GoodHealthForAll 
#4MoreForNana https://t.co/aZ6sz3Tuj0",Hootsuite Inc.,165,1286
2020/9/29,1310957690173169664,#4MoreForNana https://t.co/nMsTcfrd1L,Hootsuite Inc.,333,2562
2020/9/29,1310912293358706690,"#GoodHealthForAll 
#4MoreForNana https://t.co/2cfUzURZLS",Hootsuite Inc.,203,1459
2020/9/29,1310882057271246849,#4MoreForNana https://t.co/vRAzcDAdIV,Hootsuite Inc.,169,1642
2020/9/29,1310867652169150464,"#GoodHealthForAll 
#4MoreForNana https://t.co/CL054cmuYN",Hootsuite Inc.,120,870
2020/9/29,1310856200284770305,"""Your good works in office will speak for you going forward into the election. We, in Asanteman, remember, we do no... https://t.co/c2d0v3FLu3",Twitter for iPhone,591,2993
2020/9/28,1310633134321537027,"#GoodHealthForAll
#4MoreForNana https://t.co/Jap13cmWus",Buffer,172,935
2020/9/28,1310623330563764224,"#GoodHealthForAll 
#4MoreForNana https://t.co/3scfkNSbiH",Hootsuite Inc.,224,1811
2020/9/28,1310550738683277313,"#GoodHealthForAll 
#LeadershipOfService 
#4MoreForNana https://t.co/PMdnB1Qqcb",Hootsuite Inc.,157,1171
2020/9/28,1310509280714522624,"#GoodHealthForAll
#LeadershipOfService 
#4MoreForNana https://t.co/WspQ0020WV",Hootsuite Inc.,202,1308
2020/9/28,1310494718690832384,"#4MoreForNana 
#PresidentToursAshanti https://t.co/nTQ7pGM56j",Twitter for iPhone,235,2191
2020/9/28,1310459269947576320,A government that cares about the lives and livelihoods of our frontline workers. #4MoreForNana https://t.co/QUrbghk1U9,Hootsuite Inc.,298,2512
2020/9/27,1310224643781992454,#4MoreForNana https://t.co/W7VIjiQ9FQ,Twitter for iPhone,479,2901
2020/9/27,1310190479930253313,"During the COVID-19 pandemic, Government absorbed the water bills of its citizens until the end of the year. A gove... https://t.co/T2e4gciu7R",Hootsuite Inc.,241,1685
2020/9/27,1310187481481052162,"With 4 more years, we can do more for you. #NPPonAgriculture #4MoreForNana https://t.co/w9HZpxuI57",Hootsuite Inc.,231,1466
2020/9/27,1310142166837194753,Give us 4 more years to do more for you. #NPPonAgriculture #4MoreForNana https://t.co/bbkr7ExpPT,Hootsuite Inc.,398,2980
2020/9/26,1309915726921314304,"#NPPonAgriculture 
#4MoreForNana https://t.co/KOzsDi5BVB",Hootsuite Inc.,162,1270
2020/9/26,1309870448482693120,"#NPPonAgriculture 
#4MoreForNana https://t.co/TEOC38M99g",Hootsuite Inc.,161,1081
2020/9/26,1309864777674625026,Watch a video of Day 2 of my working visit to the Western North Region here: https://t.co/W4V1PXsX0N #4MoreForNana,Twitter for iPhone,122,964
2020/9/26,1309825121041944577,"#NPPonAgriculture 
#4MoreForNana https://t.co/yCNQiRsm5Y",Hootsuite Inc.,114,970
2020/9/26,1309779795262296064,It's important to verify your details on the voters register. 1 day to go. #4MoreForNana https://t.co/0RF4YEimaS,Hootsuite Inc.,185,1415
2020/9/26,1309778093595406338,The NPP government has provided free electricity to lifeline consumers for 6 months. A government that cares about... https://t.co/PE7O6vODm2,Twitter for iPhone,379,3319
2020/9/25,1309508188367130624,"#LeadershipOfService 
#4MoreForNana https://t.co/CS6f0kQp2e",Hootsuite Inc.,259,2613
2020/9/25,1309462810993328130,#NPPonAgriculture #4MoreForNana https://t.co/MWjUYi0UrI,Hootsuite Inc.,157,1202
2020/9/25,1309432573567873025,#LeadershipOfService #4MoreForNana https://t.co/WalmN3SXCP,Hootsuite Inc.,296,2551
2020/9/24,1309223277638963204,Watch Episode 1 of #TheFirstTerm here: https://t.co/QdefAphPz0 #4MoreForNana,TweetDeck,86,681
2020/9/24,1309209273990361090,"#TheFirstTerm premieres in less than an hour. Watch it here: https://t.co/H4mR32rUDV 

#4MoreForNana",Twitter for iPhone,118,938
2020/9/24,1309191037496291328,Episode 1 of #TheFirstTerm premieres today on https://t.co/KFS9AsUu8G at 8pm. #4MoreForNana https://t.co/yMYlsvgkZu,Hootsuite Inc.,134,847
2020/9/24,1309175126139822084,#4MoreForNana #NPPonAgriculture https://t.co/RnfzvBDvDb,Hootsuite Inc.,343,2628
2020/9/24,1309145733447266306,#4MoreForNana https://t.co/olJRYD7iUi,Hootsuite Inc.,371,3041
2020/9/24,1309138052019900420,"Government approves financial clearance for about 3,000 health professionals. #4MoreForNana https://t.co/M7COhBQPvj",Hootsuite Inc.,280,2023
2020/9/24,1309117521036029956,Text your voter ID number to short code 1422 to verify your details on the voters register. #4MoreForNana https://t.co/F14wOSLqyx,Hootsuite Inc.,354,2398
2020/9/24,1309100354601189379,#NPPonAgriculture #4MoreForNana https://t.co/gHhgajzR8o,Hootsuite Inc.,150,1070
2020/9/24,1309033606694809600,"Government absorbed the WASSCE Fees for 314,000 students who sat for their final examinations. We are committed to... https://t.co/bBt2PGJCPV",Hootsuite Inc.,528,3841
2020/9/24,1308984571778813953,"#PresidentToursWesternNorthRegion 
#LeadershipOfService
#4MoreForNana https://t.co/FVqWVoVcdm",Hootsuite Inc.,216,1961
2020/9/23,1308828662419148802,"#TheFirstTerm 
#4MoreForNana https://t.co/7fyttX0Vhi",Hootsuite Inc.,471,3265
2020/9/23,1308783366913875972,#NPPonAgriculture #4MoreForNana https://t.co/T1PkZ81OtX,Hootsuite Inc.,173,1516
2020/9/23,1308760562805940230,"https://t.co/l6A6mPCBti 

#4MoreForNana",Hootsuite Inc.,186,1580
2020/9/23,1308737977741455363,#NPPonAgriculture #4MoreForNana https://t.co/Y9Q46nEO0w,Hootsuite Inc.,225,1716
2020/9/23,1308707853272834048,#NPPonAgriculture #4MoreForNana https://t.co/ORjkqhUy1Y,Hootsuite Inc.,289,2122
2020/9/22,1308510437814734848,"In addition to going to your respective registration centres to verify your voter registration details, you can als... https://t.co/XeejnVa1sd",Twitter for iPhone,1362,8437
2020/9/22,1308466255272308736,I believe in the programmes that we have drawn up in our Manifesto because they will continue the nation on the pat... https://t.co/Jurj0Hfb0R,Hootsuite Inc.,630,5042
2020/9/22,1308386447699972096,#NPPonAgriculture https://t.co/PZQIOUWgl3,Hootsuite Inc.,380,2924
2020/9/22,1308385970748874752,RT @NPP_GH: https://t.co/l49WnWqlTu #LeadershipOfService #4MoreForNana,Twitter for iPhone,75,0
2020/9/22,1308385519819206656,"RT @NPP_GH: https://t.co/hgrowT1yyB 

#LeadershipOfService #4MoreForNana",Twitter for iPhone,50,0
2020/9/18,1306921166435692545,#TrustAkufoAddo #4MoreToDoMoreForYou https://t.co/Bzb71yKnx1,Twitter for iPhone,597,3193
2020/9/18,1306852619898544128,"#80DaysToVote
#4MoreToDoMoreForYou https://t.co/8CfCQdIuQk",Hootsuite Inc.,499,4666
2020/9/13,1305068494942359552,RT @NPP_GH: The #Round2VirtualRally is TODAY at 2pm. Watch it live on Facebook. #4MoreForNana https://t.co/rnueekVLQG,Twitter for iPhone,125,0
2020/9/12,1304676136664924161,#4MoreForNana https://t.co/i2EaSMy86z,Hootsuite Inc.,607,6877
2020/9/11,1304512395080019968,"RT @NPP_GH: #MajorityCaucus 
#LeadershipOfService
#4MoreForNana https://t.co/xhxqy4FxMA",Twitter for iPhone,76,0
2020/9/9,1303705767783079936,#4MoreToDoMoreForYou https://t.co/lXqGLF1xcw,Twitter for iPhone,905,7107
2020/9/8,1303211611700764672,9[?]0[?] days to vote. #4MoreToDoMoreForYou https://t.co/thezpF8jpy,Hootsuite Inc.,565,5538
2020/9/7,1303092455739400193,@RAkufoAddo Thank you my beautiful Rebecca.,Twitter for iPhone,666,5997
2020/9/7,1303092380942430208,RT @RAkufoAddo: Congratulations to my dear husband @NAkufoAddo for being elected as the new chair of ECOWAS. https://t.co/LFcSj9sjFO,Twitter for iPhone,2619,0
2020/9/7,1303090593829138433,RT @AOuattara_PRCI: Je felicite mon ami et frere @NakufoAddo pour sa designation comme Pdt de la #CEDEAO et lui souhaite plein succes dans...,Twitter for iPhone,382,0
2020/9/7,1303090147957903361,RT @Macky_Sall: Je me rejouis des resultats des travaux de ce 57eme Sommet ordinaire de la #CEDEAO et adresse mes sinceres felicitations au...,Twitter for iPhone,233,0
2020/9/7,1303090071533486080,"RT @walkeriain: Congratulations to @NAkufoAddo on his appointment as ECOWAS chair. 

https://t.co/QzzLT1ibIu",Twitter for iPhone,258,0
2020/9/7,1303089996463734786,RT @AkereMuna: Ghanaian President NANA Akuffo-Addo @NAkufoAddo has just been elected ECOWAS Chairperson at the 57th summit in Niamey. Congr...,Twitter for iPhone,533,0
2020/9/7,1303089757635870720,"RT @rochkaborepf: My Dear Brother @NAkufoAddo , I wish you the best of success, as you have been elected this monday as Chair of @ecowas_ce...",Twitter for iPhone,150,0
2020/9/7,1303089698513055746,"RT @Presidenceci: A son arrivee a Abidjan, le President de la Republique @AOuattara_PRCI s'est felicite de la designation du President du G...",Twitter for iPhone,93,0
2020/9/7,1303089605189787648,RT @AusAmbGHA: Terrific decision by ECOWAS and congratulations President @NAkufoAddo for Ghana's strong regional leadership.,Twitter for iPhone,280,0
2020/9/7,1303089487178862593,RT @BarrowPresident: I congratulate President @NAkufoAddo of Ghana on his election as Chairman of our regional body @ecowas_cedeao.In the s...,Twitter for iPhone,211,0
2020/9/7,1303089445697212418,RT @IssoufouMhm: C'est avec fierte que je passe aujourd'hui le flambeau a mon frere et ami @NAkufoAddo a qui je souhaite plein succes dans...,Twitter for iPhone,75,0
2020/9/7,1303061594549743619,"Free SHS is improving lives, transforming societies and empowering our youth across this great nation - let's prote... https://t.co/EOqxvXY8Ho",Twitter for iPhone,1610,8112
2020/9/7,1303059225057333255,"I urged my colleague Heads of State to give enthusiastic support to Community decisions, and build rapidly our Comm... https://t.co/4FmhBjdu6Q",Twitter for iPhone,119,957
2020/9/7,1303059223455166464,"When we think of West Africa together with our individual countries, we are not just being pan-Africanists, we are... https://t.co/WuUNUDCxtl",Twitter for iPhone,146,1124
2020/9/7,1303059220019978240,"On Monday, 7th September 2020, the Authority of Heads of State and Government of the Economic Community of West Afr... https://t.co/CsaKxuAlr3",Twitter for iPhone,1251,8470
2020/9/7,1302998439580573699,"The meeting of the Heads of State is discussing matters pertaining to the COVID-19 situation in West Africa, the EC... https://t.co/3fmRnd7C7v",Twitter for iPhone,201,1653
2020/9/7,1302998434648068098,"On Monday, 7th September 2020, I led the Ghanaian delegation to the 57th Ordinary Session of the Authority of ECOWA... https://t.co/k4QNVqG51Y",Twitter for iPhone,1078,7832
2020/9/4,1301791326757941248,https://t.co/EVW0W8U8Cp,Twitter for iPhone,642,5820
